Index,Name,URL
1,Toy Story (1995),https://image.tmdb.org/t/p/original/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),https://image.tmdb.org/t/p/original/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg
3,Grumpier Old Men (1995),https://image.tmdb.org/t/p/original/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),https://image.tmdb.org/t/p/original/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
5,Father of the Bride Part II (1995),https://image.tmdb.org/t/p/original/lf9RTErt8BSLQy98aSFblElvsCQ.jpg
6,Heat (1995),https://image.tmdb.org/t/p/original/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg
7,Sabrina (1995),https://image.tmdb.org/t/p/original/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg
8,Tom and Huck (1995),https://image.tmdb.org/t/p/original/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg
9,Sudden Death (1995),https://image.tmdb.org/t/p/original/4Snihptli0we9I4W5QfufOdHSeV.jpg
10,GoldenEye (1995),https://image.tmdb.org/t/p/original/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg
11,"American President, The (1995)",https://image.tmdb.org/t/p/original/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg
12,Dracula: Dead and Loving It (1995),https://image.tmdb.org/t/p/original/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),https://image.tmdb.org/t/p/original/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg
14,Nixon (1995),https://image.tmdb.org/t/p/original/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg
15,Cutthroat Island (1995),https://image.tmdb.org/t/p/original/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),https://image.tmdb.org/t/p/original/4TS5O1IP42bY2BvgMxL156EENy.jpg
17,Sense and Sensibility (1995),https://image.tmdb.org/t/p/original/cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),https://image.tmdb.org/t/p/original/uZSmxBLIuZ8gpadjAWNdA5aQDAc.jpg
19,Ace Ventura: When Nature Calls (1995),https://image.tmdb.org/t/p/original/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg
20,Money Train (1995),https://image.tmdb.org/t/p/original/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg
21,Get Shorty (1995),https://image.tmdb.org/t/p/original/5XSVAyHmTCFOWaqEQ0LUHh3yssB.jpg
22,Copycat (1995),https://image.tmdb.org/t/p/original/sch1NNy1q6O50qaUG0MqoU8z9GD.jpg
23,Assassins (1995),https://image.tmdb.org/t/p/original/5Ldj3h0ReTsKlKLyLxaD3mW2ZIQ.jpg
24,Powder (1995),https://image.tmdb.org/t/p/original/kImKATjY4EsK5MDgrmpJdGbQEbq.jpg
